"Timestamp","TZ","1SERIAL (State)","1SERIAL (State)","Device adress","Serial number","Software-Version","Day","Month","Year","Hour","Minute","Second","5M SYNOP Tab.4677","5M SYNOP Tab.4680","5M METAR Tab.4678","5M Intenisty [mm/h]","1M SYNOP Tab.4677","1M SYNOP Tab.4680","1M METAR Tab.4678","Intensity [mm/h] total p","Intensity [mm/h] liquid ","Intensity [mm/h] solid p","Precipitation amount [mm","1M Visibility in precipi","1M Radar reflectivity [d","1M Measuring quality [0.","1M Maximum diameter hail","Status Laser","Static Signal","Status Laser temperature","Status Laser temperature","Status Laser current (an","Status Laser currnet (gi","Status Sensor Supply","Status Current pane heat","Status Current pane heat","Status Temperature senso","Status Heating supply","Status Current heating h","Status Currnet heating h","Status Current heating c","Status Control output la","Reserve Status","Interior temperature [de","Temperature of laser dri","Mean value laser current","Control voltage [mV]","Optical control output [","Voltage sensor supply [1","Current pane heating las","Current pane heating rec","Ambient temperature [deg","Voltage Heating supply [","Current heating housing[","Current heating heads [m","Current heating carriers","Number of all measured p","internal data","Number of particles < mi","internal data","Number of particles > ma","interna data","Number of particles < mi","internal data","Number of particles no h","Total volume (gross) of ","Number of particles with","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles clas","Total volume (gross) of ","Number of particles C1S1","Number of particles C1S2","Number of particles C1S3","Number of particles C1S4","Number of particles C1S5","Number of particles C1S6","Number of particles C1S7","Number of particles C1S8","Number of particles C1S9","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S1","Number of particles C1S2","Number of particles C2S1"
2025/05/18 00:00:00.135,n,0,0,0,2297,2.6,5,1,15,12,32,37,0,0,"NP   ",0,0,0,"NP   ",0,0,0,8.9,99999,-9.9,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,8,788,4010,1858,111,0,0,99999,999,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/05/18 00:30:00.134,n,0,0,0,2297,2.6,5,1,15,13,2,37,53,52,"DZ   ",0.173,51,51,"-DZ  ",0.073,0.071,0.002,9.09,37968,4.6,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,8,790,4011,1886,111,0,0,99999,999,9999,9999,9999,145,0,0,0,0,0,0,0,12,0.275,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,7,1.38,124,3.819,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2025/05/18 01:00:00.140,n,0,0,0,2297,2.6,5,1,15,13,32,37,61,61,"-RA  ",1.339,61,61,"-RA  ",0.702,0.69,0.012,9.65,18734,22.8,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,8,793,4010,1934,111,0,0,99999,999,9999,9999,9999,168,0,0,0,0,0,0,0,25,1.391,0,0,0,0,0,0,0,0,2,1.879,0,0,23,33.396,55,13.092,63,3.478,0,0,0,0,0,1,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2025/05/18 01:30:00.136,n,0,0,0,2297,2.6,5,1,15,14,2,37,61,61,"-RA  ",0.822,61,61,"-RA  ",0.995,0.985,0.011,9.89,13070,23.1,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,795,4010,1942,111,0,0,99999,999,9999,9999,9999,257,0,0,0,0,0,0,0,45,4.415,0,0,0,0,0,0,0,0,1,1.015,0.708,0,41,45.299,94,21.799,73,3.97,0,0,0,0,1,1,2,2,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0
2025/05/18 02:00:00.134,n,0,0,0,2297,2.6,5,1,15,14,32,37,61,61,"-RA  ",0.574,61,61,"-RA  ",0.534,0.534,0,10.36,20705,19.9,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,797,4010,1970,112,0,0,99999,999,9999,9999,9999,140,0,0,0,0,0,0,0,12,0.679,0,0,0,0,0,0,0,0,0,0,0,0,19,20.136,66,15.927,43,2.663,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2025/05/18 02:30:00.143,n,0,0,0,2297,2.6,5,1,15,15,2,36,61,61,"-RA  ",1.01,61,61,"-RA  ",0.805,0.794,0.011,10.81,19320,25.5,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,799,4010,1964,111,0,0,99999,999,9999,9999,9999,151,0,1,0,0,0,0,0,31,8.881,0,0,0,0,0,0,0,0,0,0,1.871,0,22,46.604,36,8.734,55,2.04,0,0,0,1,5,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025/05/18 03:00:00.137,n,0,0,0,2297,2.6,5,1,15,15,32,36,61,61,"-RA  ",1.756,61,61,"-RA  ",1.585,1.552,0.032,11.22,6320,25,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,798,4011,1934,112,0,0,99999,999,9999,9999,9999,555,0,0,0,0,0,0,0,116,13.959,0,0,0,0,1,2.127,0,0,2,1.112,2.042,0,54,58.077,179,43.216,195,10.141,0,0,0,1,3,1,5,4,4,1,2,2,0,1,0,0,0,0,0,0,0,0,0
2025/05/18 03:30:00.134,n,0,0,0,2297,2.6,5,1,15,16,2,36,61,61,"-RA  ",0.919,61,61,"-RA  ",0.553,0.54,0.013,11.55,15167,18.7,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,797,4010,1918,111,0,0,99999,999,9999,9999,9999,351,0,0,0,0,0,0,0,114,6.681,0,0,0,0,0,0,0,0,2,1.246,0.938,0,18,16.354,74,17.433,138,5.352,0,0,0,0,1,5,7,4,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2025/05/18 04:00:00.146,n,0,0,0,2297,2.6,5,1,15,16,32,36,0,0,"NP   ",0,0,0,"NP   ",0,0,0,11.69,99999,-9.9,87,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,794,4010,1896,111,0,0,99999,999,9999,9999,9999,7,0,0,0,0,0,0,0,3,0.785,0,0,0,0,0,0,0,0,0,0,0,0,1,0.771,1,0.189,2,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/05/18 04:30:00.139,n,0,0,0,2297,2.6,5,1,15,17,2,36,61,61,"-RA  ",0.704,61,61,"-RA  ",0.455,0.437,0.018,11.8,16734,19,100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,9,792,4010,1874,111,0,0,99999,999,9999,9999,9999,305,0,0,0,0,0,0,0,73,4.044,0,0,0,0,0,0,0,0,1,2.316,0.645,0,13,15.251,48,9.756,166,6.723,0,0,0,0,1,3,3,5,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0
