"Timestamp","TZ","Calculation_8","Reference_9"
2025/03/31 00:00:08.460,n,6.269475,6.269475
2025/03/31 00:30:07.496,n,6.236237,6.236237
2025/03/31 01:00:07.499,n,6.406755,6.406755
2025/03/31 01:30:07.529,n,6.434467,6.434467
2025/03/31 02:00:07.507,n,6.328182,6.328182
2025/03/31 02:30:07.489,n,5.963629,5.963629
2025/03/31 03:00:07.559,n,5.85271,5.85271
2025/03/31 03:30:07.487,n,5.950287,5.950287
2025/03/31 04:00:07.716,n,5.755121,5.755121
2025/03/31 04:30:07.566,n,5.680756,5.680756
2025/03/31 05:00:07.508,n,5.596563,5.596563
2025/03/31 05:30:07.500,n,5.647639,5.647639
2025/03/31 06:00:07.559,n,5.623213,5.623213
2025/03/31 06:30:07.492,n,6.272107,6.272107
2025/03/31 07:00:07.506,n,6.622291,6.622291
2025/03/31 07:30:07.505,n,6.799037,6.799037
2025/03/31 08:00:07.988,n,7.421598,7.421598
2025/03/31 08:30:08.186,n,8.07767,8.07767
2025/03/31 09:00:07.489,n,8.306028,8.306028
2025/03/31 09:30:07.491,n,8.681966,8.681966
2025/03/31 10:00:08.184,n,10.131498,10.131498
2025/03/31 10:30:07.521,n,11.036908,11.036908
2025/03/31 11:00:07.517,n,12.228176,12.228176
2025/03/31 11:30:07.509,n,12.093078,12.093078
2025/03/31 12:00:07.512,n,12.092248,12.092248
2025/03/31 12:30:07.499,n,12.620672,12.620672
2025/03/31 13:00:07.514,n,11.944766,11.944766
2025/03/31 13:30:07.521,n,12.535154,12.535154
2025/03/31 14:00:07.515,n,13.758678,13.758678
2025/03/31 14:30:07.814,n,12.53351,12.53351
2025/03/31 15:00:07.509,n,12.945466,12.945466
2025/03/31 15:30:07.517,n,12.631094,12.631094
2025/03/31 16:00:07.856,n,12.633292,12.633292
2025/03/31 16:30:07.514,n,8.72845,8.72845
2025/03/31 17:00:07.501,n,7.232708,7.232708
2025/03/31 17:30:07.721,n,7.532404,7.532404
2025/03/31 18:00:07.497,n,7.656432,7.656432
2025/03/31 18:30:07.497,n,7.243568,7.243568
2025/03/31 19:00:07.501,n,6.990017,6.990017
2025/03/31 19:30:07.526,n,6.794029,6.794029
2025/03/31 20:00:07.510,n,6.993838,6.993838
2025/03/31 20:30:08.008,n,6.39263,6.39263
2025/03/31 21:00:07.720,n,6.062914,6.062914
2025/03/31 21:30:08.180,n,5.926656,5.926656
2025/03/31 22:00:07.516,n,5.764693,5.764693
2025/03/31 22:30:07.508,n,5.606037,5.606037
2025/03/31 23:00:07.523,n,5.485233,5.485233
2025/03/31 23:30:08.186,n,5.155083,5.155083
