"Timestamp","TZ","TA_1_2_1","RH_1_2_1","PPFD_1_2_1","PPFD_1_2_1_AV","PPFD_1_2_1_SD","PPFDr_1_2_1","PPFDr_1_2_1_AV","PPFDr_1_2_1_SD","SWin_1_2_1","SWout_1_2_1","LWin_1_2_V","LWout_1_2_V","TA_2_2_1","LWin_1_2_1","LWout_1_2_1","Rn_1_2_1","PPFD_1_1_1","PPFD_1_1_1_AV","PPFD_1_1_1_SD","PPFDd_1_1_1","PPFDd_1_1_1_AV","PPFDd_1_1_1_SD","2SERIAL (State)","2SERIAL (State)","2SERIAL (State)","2SERIAL (State)","posX","posY","P_2_1_2","1256CV"
2025/06/15 23:46:00.139,n,20.692074,55.550688,-0.210151,-0.303552,0.065213,-0.281488,-0.369934,0.088799,-4.267533,-2.563664,-0.310989,-0.090126,21.524834,400.61672,419.51476,-1.924733,855.63968,716.87624,113.4339,1011.5854,889.64816,96.53652,0,0,0,0,0.73,-1.29,0,0
2025/06/15 23:47:00.141,n,20.683918,55.4982,-0.105076,-0.134263,0.064266,-0.24611,-0.228677,0.069322,-4.228701,-2.349766,-0.303436,-0.090828,21.537732,401.3448,419.52712,-2.091543,583.88532,613.37788,56.520352,755.79424,783.98664,46.728468,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:48:00.143,n,20.670928,55.553964,0.033502,-0.058883,0.087032,0,-0.134591,0.074932,-4.254969,-2.406971,-0.30291,-0.095215,21.53884,401.39692,419.14412,-2.055693,797.1348,752.55144,70.237808,960.96368,914.80224,60.392052,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:49:00.147,n,20.605744,56.44166,-0.140101,-0.087563,0.053118,-0.210731,-0.193299,0.048208,-4.635296,-2.649471,-0.310822,-0.099068,21.534498,400.6872,418.7766,-2.197578,599.26276,703.74832,91.296496,780.59016,865.49976,78.06408,0,0,0,0,0.73,-1.27,0,0
2025/06/15 23:50:00.150,n,20.555256,55.917828,-0.035025,-0.151776,0.084835,-0.24611,-0.204835,0.026632,-4.595893,-2.449875,-0.300453,-0.095734,21.535576,401.59048,419.07908,-2.350737,793.62168,668.03868,101.38024,940.46176,826.166,86.175112,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:51:00.151,n,20.556964,55.858896,-0.245176,-0.215989,0.084109,-0.210731,-0.275592,0.060936,-4.569624,-2.549362,-0.303436,-0.098541,21.530222,401.30124,418.79856,-2.225156,612.4366,620.18256,59.413804,774.9344,782.01168,47.370348,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:52:00.136,n,20.620442,55.79986,-0.175126,-0.192639,0.048279,-0.352244,-0.364037,0.036538,-4.609027,-2.778183,-0.310463,-0.102051,21.531266,400.6996,418.49304,-2.039256,830.81256,781.8328,78.593576,982.06768,935.09208,67.649096,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:53:00.137,n,20.612336,55.768708,-0.280202,-0.309389,0.034436,-0.387623,-0.393519,0.026632,-4.635296,-2.720356,-0.307655,-0.101349,21.526956,400.91736,418.53028,-2.121246,849.2232,770.52592,82.97168,1003.475,929.85256,70.858304,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:54:00.139,n,20.57972,55.768708,-0.490353,-0.403044,0.091074,-0.529136,-0.417105,0.064914,-4.687262,-2.806164,-0.310638,-0.103798,21.522678,400.63452,418.288,-2.087939,839.77256,732.2156,99.052264,991.06816,892.38152,83.709024,0,0,0,0,0.73,-1.28,0,0
2025/06/15 23:55:00.141,n,20.565072,56.23062,-0.280202,-0.420556,0.091686,-0.493757,-0.417105,0.068662,-4.83174,-2.748959,-0.313629,-0.105202,21.52059,400.36372,418.15128,-2.291209,640.55816,616.24068,50.18466,799.47104,789.47368,37.089756,0,0,0,0,0.73,-1.29,0,0
