"Timestamp","TZ","Calculation_8","Reference_9"
2025/06/20 00:00:07.470,n,8.948864,8.948864
2025/06/20 00:30:07.469,n,8.6098,8.6098
2025/06/20 01:00:07.484,n,8.411934,8.411934
2025/06/20 01:30:07.476,n,8.352474,8.352474
2025/06/20 02:00:07.456,n,8.285131,8.285131
2025/06/20 02:30:07.686,n,8.201247,8.201247
2025/06/20 03:00:07.473,n,7.890648,7.890648
2025/06/20 03:30:07.479,n,7.64523,7.64523
2025/06/20 04:00:07.470,n,7.51577,7.51577
2025/06/20 04:30:07.543,n,8.09195,8.09195
2025/06/20 05:00:07.475,n,9.497996,9.497996
2025/06/20 05:30:07.759,n,11.707414,11.707414
2025/06/20 06:00:07.484,n,13.928766,13.928766
2025/06/20 06:30:07.580,n,16.05654,16.05654
2025/06/20 07:00:07.473,n,17.284838,17.284838
2025/06/20 07:30:07.561,n,18.784092,18.784092
2025/06/20 08:00:07.466,n,18.941474,18.941474
2025/06/20 08:30:07.466,n,19.837438,19.837438
2025/06/20 09:00:07.490,n,20.283468,20.283468
2025/06/20 09:30:07.458,n,21.976402,21.976402
2025/06/20 10:00:07.479,n,22.338224,22.338224
2025/06/20 10:30:07.485,n,22.851826,22.851826
2025/06/20 11:00:07.560,n,22.07492,22.07492
2025/06/20 11:30:07.454,n,23.072888,23.072888
2025/06/20 12:00:07.478,n,24.797414,24.797414
2025/06/20 12:30:07.469,n,24.498306,24.498306
2025/06/20 13:00:07.469,n,25.940654,25.940654
2025/06/20 13:30:07.482,n,25.161948,25.161948
2025/06/20 14:00:07.457,n,24.700452,24.700452
2025/06/20 14:30:07.676,n,25.727682,25.727682
2025/06/20 15:00:07.687,n,26.423926,26.423926
2025/06/20 15:30:07.466,n,24.004064,24.004064
2025/06/20 16:00:07.560,n,23.28325,23.28325
2025/06/20 16:30:07.473,n,21.291988,21.291988
2025/06/20 17:00:07.469,n,23.564774,23.564774
2025/06/20 17:30:07.535,n,22.27761,22.27761
2025/06/20 18:00:07.704,n,21.136428,21.136428
2025/06/20 18:30:07.483,n,21.3565,21.3565
2025/06/20 19:00:08.233,n,20.824708,20.824708
2025/06/20 19:30:07.501,n,19.745642,19.745642
2025/06/20 20:00:08.152,n,18.242906,18.242906
2025/06/20 20:30:08.163,n,16.69981,16.69981
2025/06/20 21:00:08.176,n,15.12138,15.12138
2025/06/20 21:30:07.488,n,14.45359,14.45359
2025/06/20 22:00:07.490,n,12.726838,12.726838
2025/06/20 22:30:08.301,n,11.87831,11.87831
2025/06/20 23:00:07.472,n,10.318364,10.318364
2025/06/20 23:30:07.475,n,10.45424,10.45424
