"Timestamp","TZ","TA_1_1_1","RH_1_1_1","PPFD_BC_IN_1_1_1","PPFD_BC_IN_1_1_1_SD","PPFD_BC_IN_1_1_2","PPFD_BC_IN_1_1_2_SD","TS_6_1_1","TS_6_2_1","TS_7_1_1","TS_7_2_1","TS_8_1_1","TS_8_2_1","TS_9_1_1","TS_9_2_1","TS_10_1_1","TS_10_2_1","P_1_2_1","P_1_3_1","P_1_4_1","1160CV","1038CV","1161CV"
2025/03/30 23:46:00.913,n,5.744831,68.663456,0.000207,7.152558e-06,-7.095555e-05,5.861623e-06,5.948059,5.903887,5.803761,5.794936,6.121782,6.208393,6.116516,5.900978,5.876974,5.828837,0,0,0,0,0,0
2025/03/30 23:47:00.916,n,5.733162,68.637576,0.000228,1.092666e-05,-4.913021e-05,8.218744e-06,5.949523,5.896573,5.805239,5.793426,6.13207,6.202884,6.113639,5.902424,5.874146,5.836199,0,0,0,0,0,0
2025/03/30 23:48:00.920,n,5.741513,68.639136,0.000218,9.55623e-06,-4.363676e-05,5.20973e-06,5.958396,5.892153,5.794936,5.790531,6.126203,6.197261,6.113639,5.905414,5.868604,5.837662,0,0,0,0,0,0
2025/03/30 23:49:00.920,n,5.729794,68.710424,0.000207,1.209842e-05,-4.913021e-05,5.883347e-06,5.956933,5.889211,5.800835,5.7846,6.129144,6.191718,6.102506,5.906877,5.863014,5.839108,0,0,0,0,0,0
2025/03/30 23:50:00.921,n,5.739849,68.697488,0.000244,1.113907e-05,-4.913021e-05,6.253777e-06,5.958396,5.896573,5.803761,5.791994,6.126203,6.202884,6.10535,5.903887,5.868604,5.828837,0,0,0,0,0,0
2025/03/30 23:51:00.923,n,5.743222,68.624632,0.000249,9.511242e-06,-5.447519e-05,6.953104e-06,5.959859,5.895046,5.803761,5.793426,6.124676,6.194514,6.108145,5.905414,5.868604,5.843561,0,0,0,0,0,0
2025/03/30 23:52:00.912,n,5.744831,68.720144,0.000218,1.055695e-05,-5.447519e-05,7.864375e-06,5.942192,5.896573,5.786063,5.793426,6.120303,6.197261,6.116516,5.889211,5.871384,5.828837,0,0,0,0,0,0
2025/03/30 23:53:00.912,n,5.726422,68.71848,0.000223,1.250918e-05,-4.913021e-05,5.167104e-06,5.951033,5.898052,5.794936,5.791994,6.124676,6.194514,6.110892,5.892153,5.865761,5.827358,0,0,0,0,0,0
2025/03/30 23:54:00.915,n,5.718075,68.619752,0.000218,1.039516e-05,-4.913021e-05,4.286659e-06,5.948059,5.899515,5.796399,5.790531,6.126203,6.194514,6.110892,5.895046,5.874146,5.830235,0,0,0,0,0,0
2025/03/30 23:55:00.915,n,5.726422,68.657008,0.000239,1.20286e-05,-5.447519e-05,5.563588e-06,5.946661,5.887684,5.789054,5.789054,6.126203,6.194514,6.113639,5.890675,5.876974,5.825896,0,0,0,0,0,0
2025/03/30 23:56:00.918,n,5.726422,68.593824,0.000228,1.200409e-05,-4.913021e-05,7.128676e-06,5.955488,5.892153,5.797894,5.783155,6.126203,6.202884,6.113639,5.896573,5.871384,5.839108,0,0,0,0,0,0
2025/03/30 23:57:00.920,n,5.733162,68.650512,0.000249,1.254033e-05,-3.829178e-05,6.714962e-06,5.955488,5.884743,5.787591,5.783155,6.126203,6.194514,6.094233,5.900978,5.868604,5.834704,0,0,0,0,0,0
2025/03/30 23:58:00.924,n,5.739849,68.650512,0.000212,7.300225e-06,-4.913021e-05,4.918689e-06,5.953959,5.884743,5.799357,5.790531,6.120303,6.194514,6.108145,5.902424,5.860137,5.834704,0,0,0,0,0,0
2025/03/30 23:59:00.923,n,5.719734,68.720144,0.000212,1.197801e-05,-5.447519e-05,6.770001e-06,5.955488,5.883345,5.803761,5.789054,6.115849,6.197261,6.113639,5.896573,5.860137,5.824367,0,0,0,0,0,0
2025/03/31 00:00:00.925,n,5.751568,68.703976,0.000207,9.660568e-06,-4.363676e-05,5.712273e-06,5.958396,5.878876,5.790531,5.786063,6.109999,6.191718,6.108145,5.898052,5.863014,5.83173,0,0,0,0,0,0
2025/03/31 00:01:00.921,n,5.773346,68.663456,0.00026,3.463171e-05,5.210429e-06,3.370882e-05,5.964328,5.902424,5.818534,5.800835,6.146811,6.169403,6.077412,5.909818,5.837971,5.842066,0,0,0,0,0,0
2025/03/31 00:02:00.923,n,5.775055,68.642408,0.000281,9.761144e-06,-1.112146e-05,8.50869e-06,5.971625,5.896573,5.805239,5.793426,6.127681,6.166623,6.088626,5.905414,5.846258,5.840603,0,0,0,0,0,0
2025/03/31 00:03:00.923,n,5.7566,68.678,0.000244,8.573732e-06,-2.195989e-05,7.418311e-06,5.956933,5.893583,5.803761,5.793426,6.129144,6.180601,6.094233,5.908355,5.851881,5.836199,0,0,0,0,0,0
2025/03/31 00:04:00.924,n,5.763241,68.713648,0.000234,7.439063e-06,-2.195989e-05,5.859535e-06,5.958396,5.892153,5.802299,5.791994,6.121782,6.177839,6.094233,5.902424,5.846258,5.837662,0,0,0,0,0,0
