"Timestamp","TZ","U_am_G_1_1_1","U_am_G_2_1_1","U_am_G_3_1_1","U_am_G_4_1_1","U_am_G_5_1_1","U_am_G_6_1_1","U_am_G_7_1_1","U_am_G_8_1_1","U_am_G_9_1_1","U_am_G_10_1_1","RelayDriver_1 (State)","U_on_am_G_1_1_1","U_on_am_G_2_1_1","U_on_am_G_3_1_1","U_on_am_G_4_1_1","U_on_am_G_5_1_1","U_on_am_G_6_1_1","U_on_am_G_7_1_1","U_on_am_G_8_1_1","U_on_am_G_9_1_1","U_on_am_G_10_1_1","U_current_on_am_G_1_","U_current_on_am_G_2_","U_current_on_am_G_3_","U_current_on_am_G_4_","U_current_on_am_G_5_","U_current_on_am_G_6_","U_current_on_am_G_7_","U_current_on_am_G_8_","U_current_on_am_G_9_","U_current_on_am_G_10","RelayDriver_9 (State)","U_off_am_G_1_1_1","U_off_am_G_2_1_1","U_off_am_G_3_1_1","U_off_am_G_4_1_1","U_off_am_G_5_1_1","U_off_am_G_6_1_1","U_off_am_G_7_1_1","U_off_am_G_8_1_1","U_off_am_G_9_1_1","U_off_am_G_10_1_1","U_current_off_am_G_1","U_current_off_am_G_2","U_current_off_am_G_3","U_current_off_am_G_4","U_current_off_am_G_5","U_current_off_am_G_6","U_current_off_am_G_7","U_current_off_am_G_8","U_current_off_am_G_9","U_current_off_am_G10","U_pm_G_1_1_1","U_pm_G_2_1_1","U_pm_G_3_1_1","U_pm_G_4_1_1","U_pm_G_5_1_1","U_pm_G_6_1_1","U_pm_G_7_1_1","U_pm_G_8_1_1","U_pm_G_9_1_1","U_pm_G_10_1_1","RelayDriver_7 (State)","U_on_pm_G_1_1_1","U_on_pm_G_2_1_1","U_on_pm_G_3_1_1","U_on_pm_G_4_1_1","U_on_pm_G_5_1_1","U_on_pm_G_6_1_1","U_on_pm_G_7_1_1","U_on_pm_G_8_1_1","U_on_pm_G_9_1_1","U_on_pm_G_10_1_1","U_current_on_pm_G_1_","U_current_on_pm_G_2_","U_current_on_pm_G_3_","U_current_on_pm_G_4_","U_current_on_pm_G_5_","U_current_on_pm_G_6_","U_current_on_pm_G_7_","U_current_on_pm_G_8_","U_current_on_pm_G_9_","U_current_on_pm_G_10","RelayDriver_8 (State)","U_off_pm_G_1_1_1","U_off_pm_G_2_1_1","U_off_pm_G_3_1_1","U_off_pm_G_4_1_1","U_off_pm_G_5_1_1","U_off_pm_G_6_1_1","U_off_pm_G_7_1_1","U_off_pm_G_8_1_1","U_off_pm_G_9_1_1","U_off_pm_G_10_1_1","U_current_off_pm_G_1","U_current_off_pm_G_2","U_current_off_pm_G_3","U_current_off_pm_G_4","U_current_off_pm_G_5","U_current_off_pm_G_6","U_current_off_pm_G_7","U_current_off_pm_G_8","U_current_off_pm_G_9","U_current_off_pm_G10"
2019/09/14 06:02:00.974,n,-1.057243,-0.646111,-0.574822,-0.539177,-0.646111,-0.592888,-0.449821,-0.717278,-0.342888,-0.717888,0
2019/09/15 06:02:01.760,n,-1.146912,-0.754334,-0.701111,-0.66449,-0.754334,-0.682556,-0.575623,-0.709961,-0.503845,-0.861755,0
2019/09/16 06:02:00.963,n,-0.451813,-0.29068,-0.254547,-0.201324,-0.236481,-0.218903,-0.16568,-0.27726,-0.111481,-0.273102,0
2019/09/17 06:02:00.973,n,-0.738884,-0.451775,-0.469841,-0.416618,-0.505974,-0.398064,-0.379997,-0.522087,-0.308708,-0.559685,0
2019/09/18 06:02:00.974,n,-0.704117,-0.506851,-0.452652,-0.380875,-0.488297,-0.380875,-0.291519,-0.519241,-0.273453,-0.542496,0
2019/09/19 06:02:00.972,n,-1.020935,-0.717712,-0.663513,-0.645935,-0.717712,-0.627869,-0.521423,-0.613586,-0.502869,-0.824646,0
2019/09/20 06:02:00.965,n,-0.788651,-0.466873,-0.431229,-0.431229,-0.48494,-0.396072,-0.288651,-0.635674,-0.23494,-0.574295,0
2019/09/21 06:02:00.979,n,-0.003708,0.01387,0.032425,0.068069,0.050491,0.068069,0.068069,-0.094505,0.050491,0.032425,0
2019/09/22 06:02:00.977,n,-0.986122,-0.646767,-0.629189,-0.557411,-0.664833,-0.521767,-0.450478,-0.63459,-0.360634,-0.700478,0
2019/09/23 06:02:00.974,n,-0.308212,-0.129013,-0.146591,-0.110947,-0.182236,-0.093369,-0.039169,-0.355461,-0.039169,-0.236435,0
2019/09/24 06:02:00.976,n,-0.774345,-0.576103,-0.576103,-0.504814,-0.594658,-0.540459,-0.468681,-0.411758,-0.379326,-0.70208,0
2019/09/25 06:02:00.964,n,-0.218193,-0.110771,-0.128349,-0.110771,-0.128349,-0.110771,-0.092705,-0.197128,-0.092705,-0.182549,0
2019/09/26 06:02:00.973,n,-0.004234,-0.004234,-0.039879,-0.039879,-0.004234,-0.057945,-0.039879,0.035423,-0.039879,-0.039879,0
2019/09/27 06:02:00.969,n,-0.506187,-0.308922,-0.345055,-0.237633,-0.308922,-0.290855,-0.255211,-0.300468,-0.219078,-0.398766,0
2019/09/28 06:02:00.965,n,-0.021111,0.014534,0.032112,0.032112,0.067757,0.032112,0.014534,-0.042007,0.067757,0.014534,0
2019/09/29 06:02:00.975,n,-0.093719,0.013702,-0.003876,0.067902,0.013702,0.031769,0.067902,-0.153358,0.103546,-0.003876,0
2019/09/30 06:02:00.966,n,0.139015,0.156593,0.139015,0.139015,0.120949,0.139015,0.139015,0.006882,0.139015,0.156593,0
2019/10/01 06:02:00.967,n,-0.55941,-0.43441,-0.380699,-0.380699,-0.451988,-0.362144,-0.362144,-0.264534,-0.3265,-0.506187,0
