"Timestamp","TZ","SWC_1_1_1","TS_1_1_1","SWC_2_1_1","TS_2_1_1","SWC_3_1_1","TS_3_1_1","SWC_4_1_1","TS_4_1_1","SWC_5_1_1","TS_5_1_1","G_1_1_1","G_2_1_1","G_3_1_1","G_4_1_1","G_5_1_1","G_6_1_1","G_7_1_1","G_8_1_1","G_9_1_1","G_10_1_1"
2025/03/29 00:00:00.989,n,6.3,4.9,7.2,5,8.8,5.1,16,5,9.3,5.1,-1.147743,1.387082,-1.103346,-14.182896,-0.295143,-2.241134,-1.428341,-118.00174,-200.12786,-380.35368
2025/03/29 00:30:00.977,n,6.3,4.8,7.2,4.9,8.9,5,16.200002,4.9,9.4,5.1,-0.866414,2.242398,-0.021327,-8.975218,-0.305432,-1.402027,-0.305432,-111.15994,-190.82922,-372.67172
2025/03/29 01:00:00.982,n,6.3,4.7,7.1,4.9,8.9,4.9,15.9,4.8,6.2,5,0.551986,3.106652,0.530635,-8.1083,0.550687,-0.842306,0.833986,-118.85366,-195.91178,-375.25276
2025/03/29 01:30:00.975,n,6.4,4.6,7.2,4.8,9,4.8,16.1,4.8,9.4,4.9,-2.256992,-0.286595,-2.169688,-7.232007,-2.802965,-4.171247,-2.802965,-115.9992,-193.36738,-379.52892
2025/03/29 02:00:00.976,n,6.3,4.5,7.2,4.7,8.9,4.8,16,4.7,9.4,4.9,-1.435069,1.105438,-1.099196,-0.031455,-1.140734,-2.798011,-1.71499,-112.024,-192.26742,-377.2894
2025/03/29 02:30:00.974,n,6.3,4.5,7.2,4.7,8.9,4.7,15.9,4.6,9.4,4.8,-3.392144,-0.873312,-2.995324,-18.528342,-2.549574,-4.473856,-2.825217,-119.73184,-193.39742,-380.14012
2025/03/29 03:00:00.976,n,6.3,4.4,7.1,4.6,8.9,4.6,15.9,4.5,6.1,4.8,-5.080601,-2.009547,-4.352864,-9.568048,-5.068641,-5.853964,-5.068641,-107.4662,-189.72302,-378.72252
2025/03/29 03:30:00.973,n,6.3,4.3,7.1,4.5,8.9,4.5,15.8,4.5,6.1,4.7,-2.538921,0.565702,-1.902123,-3.472113,-1.683047,-3.062113,-1.974003,-106.31374,-182.3729,-367.58936
2025/03/29 04:00:00.979,n,6.3,4.2,7.1,4.5,8.9,4.5,15.9,4.4,6.2,4.6,-0.292842,2.534066,0.52268,-10.137812,0.542432,-1.957601,-0.292152,-102.62194,-175.62636,-363.35464
2025/03/29 04:30:00.976,n,6.2,4.2,7.2,4.4,8.9,4.4,16,4.3,9.4,4.6,-0.869292,2.525491,-0.304455,-14.196464,-0.591603,-1.139465,-0.025004,-101.50278,-173.3826,-361.37236
